Taille,Precision PCA,Train Time PCA,Predict Time PCA,Precision LSA,Train Time LSA,Predict Time LSA,Precision DAE,Train Time DAE,Predict Time DAE,Precision VAE,Train Time VAE,Predict Time VAE
60,50.519999999999996,0.08480191230773926,1.0826759338378906,50.770000000000003,0.008324813842773438,0.21912059783935547,40.200000000000003,4.722518587112427,0.25121159553527833,39.589999999999996,9.539707612991332,0.27878894805908205
120,61.380000000000003,0.04148244857788086,1.0957796573638916,59.969999999999999,0.016312885284423827,0.2216463565826416,55.829999999999998,5.001412868499756,0.26340622901916505,51.049999999999997,15.312090730667114,0.26450042724609374
180,65.769999999999996,0.08252906799316406,1.106827735900879,63.360000000000007,0.026753759384155272,0.19258780479431153,59.950000000000003,5.585851335525513,0.2586155891418457,61.639999999999993,24.98013300895691,0.26815214157104494
240,66.909999999999997,0.07561874389648438,1.0082848072052002,64.780000000000001,0.02451319694519043,0.2028656005859375,64.909999999999997,5.550282621383667,0.2269984245300293,63.770000000000003,32.46701340675354,0.24706854820251464
300,67.359999999999999,0.0811619758605957,0.9752006530761719,64.180000000000007,0.02785496711730957,0.20159344673156737,66.689999999999998,5.5957787990570065,0.23219537734985352,69.959999999999994,32.85091462135315,0.25383963584899905
360,67.170000000000002,0.14134502410888672,0.9720559120178223,64.459999999999994,0.037956619262695314,0.2005768299102783,71.009999999999991,5.829407835006714,0.24274020195007323,67.530000000000001,38.976171875,0.24885950088500977
420,67.280000000000001,0.12534594535827637,0.9505190849304199,65.200000000000003,0.03847498893737793,0.2021357536315918,69.890000000000001,5.6433248043060305,0.24265799522399903,69.049999999999997,48.425126791000366,0.26102457046508787
480,68.420000000000002,0.1525101661682129,1.0929429531097412,66.149999999999991,0.04697494506835938,0.2080406665802002,71.319999999999993,6.040804433822632,0.2535506248474121,69.840000000000003,61.296772813797,0.24844942092895508
540,70.199999999999989,0.1551206111907959,1.0640912055969238,66.689999999999998,0.058295059204101565,0.2012352466583252,70.370000000000005,6.239360380172729,0.2442863941192627,70.859999999999999,64.56702642440796,0.24245123863220214
600,69.410000000000011,0.16006708145141602,0.9343106746673584,67.47999999999999,0.06064858436584473,0.2545382022857666,72.599999999999994,5.870718860626221,0.24734101295471192,71.950000000000003,71.77943396568298,0.24416561126708985
660,70.329999999999998,0.20627784729003906,1.003553867340088,67.609999999999999,0.06387696266174317,0.18110098838806152,72.969999999999999,6.33325572013855,0.24939804077148436,73.61999999999999,81.00247821807861,0.24202380180358887
720,70.469999999999999,0.2070608139038086,0.970883846282959,68.079999999999998,0.05995874404907227,0.16529741287231445,74.11999999999999,6.344423007965088,0.25377693176269533,74.72999999999999,87.770490026474,0.24212756156921386
780,70.870000000000005,0.2107071876525879,0.9336452484130859,68.400000000000006,0.06127719879150391,0.16547622680664062,74.570000000000007,6.205365419387817,0.25086145401000975,72.700000000000003,97.54826545715332,0.24637908935546876
840,70.679999999999993,0.2500147819519043,0.9416089057922363,68.650000000000006,0.06152176856994629,0.1628268241882324,74.829999999999998,6.602448177337647,0.24890217781066895,75.549999999999997,100.66202716827392,0.24219002723693847
900,70.859999999999999,0.23262262344360352,0.899334192276001,69.289999999999992,0.06515717506408691,0.16366100311279297,75.310000000000002,6.168538999557495,0.2386526107788086,75.75,116.94103035926818,0.25206265449523924
960,71.340000000000003,0.286984920501709,0.8838930130004883,69.170000000000002,0.04400315284729004,0.15374855995178222,76.209999999999994,6.3073750019073485,0.2375339984893799,75.849999999999994,120.26955857276917,0.23644800186157228
1020,71.549999999999997,0.2611823081970215,0.8940470218658447,69.459999999999994,0.06678342819213867,0.15562677383422852,77.149999999999991,6.24257116317749,0.24580936431884765,77.649999999999991,134.43180060386658,0.2494279384613037
1080,71.760000000000005,0.33057212829589844,0.8803408145904541,69.980000000000004,0.0768012523651123,0.1488327980041504,76.049999999999997,6.492424392700196,0.2459587574005127,77.439999999999998,139.88780937194824,0.24936919212341307
1140,72.240000000000009,0.3260488510131836,0.8890178203582764,70.030000000000001,0.05640444755554199,0.1534780502319336,77.959999999999994,6.414034032821656,0.24785175323486328,76.829999999999998,151.53626918792725,0.24650707244873046
1200,72.099999999999994,0.33648204803466797,0.804750919342041,70.25,0.05980658531188965,0.15682077407836914,75.77000000000001,6.42364501953125,0.24149022102355958,77.629999999999995,142.84919958114625,0.23492083549499512
